,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
261,SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,"July 23, 2010","August 22, 2012"
262,Community Security Bank,New Prague,MN,34486,Roundbank,"July 23, 2010","February 4, 2016"
263,Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,"July 23, 2010","September 13, 2012"
264,Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.","July 23, 2010","October 20, 2016"
265,Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,"July 23, 2010","March 21, 2014"
266,Sterling Bank,Lantana,FL,32536,IBERIABANK,"July 23, 2010","March 21, 2014"
267,"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,"July 16, 2010","September 13, 2012"
268,Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.","July 16, 2010","July 11, 2016"
269,Turnberry Bank,Aventura,FL,32280,NAFH National Bank,"July 16, 2010","September 12, 2016"
270,Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,"July 16, 2010","August 8, 2016"
271,First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,"July 16, 2010","March 21, 2014"
272,Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,"July 16, 2010","September 21, 2015"
273,Home National Bank,Blackwell,OK,11636,RCB Bank,"July 9, 2010","December 12, 2016"
274,USA Bank,Port Chester,NY,58072,New Century Bank,"July 9, 2010","October 6, 2017"
275,Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,"July 9, 2010","May 8, 2015"
276,Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB","July 9, 2010","January 15, 2013"
277,High Desert State Bank,Albuquerque,NM,35279,First American Bank,"June 25, 2010","September 14, 2012"
278,First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.","June 25, 2010","March 21, 2014"
279,Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.","June 25, 2010","March 21, 2014"
280,Nevada Security Bank,Reno,NV,57110,Umpqua Bank,"June 18, 2010","August 23, 2012"
281,Washington First International Bank,Seattle,WA,32955,East West Bank,"June 11, 2010","September 14, 2012"
282,TierOne Bank,Lincoln,NE,29341,Great Western Bank,"June 4, 2010","September 14, 2012"
283,Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,"June 4, 2010","May 8, 2015"
284,First National Bank,Rosedale,MS,15814,The Jefferson Bank,"June 4, 2010","March 21, 2014"
285,Sun West Bank,Las Vegas,NV,34785,City National Bank,"May 28, 2010","September 14, 2012"
286,"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,"May 28, 2010","September 7, 2017"
287,Bank of Florida - Tampa,Tampa,FL,57814,EverBank,"May 28, 2010","August 8, 2016"
288,Bank of Florida - Southwest,Naples,FL,35106,EverBank,"May 28, 2010","August 8, 2016"
289,Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,"May 28, 2010","August 8, 2016"
290,Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,"May 21, 2010","October 26, 2012"
291,Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.","May 14, 2010","August 23, 2012"
292,Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,"May 14, 2010","February 4, 2016"
293,New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,"May 14, 2010","August 23, 2012"
294,Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,"May 14, 2010","March 21, 2014"
295,1st Pacific Bank of California,San Diego,CA,35517,City National Bank,"May 7, 2010","December 13, 2012"
296,Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,"May 7, 2010","August 23, 2012"
297,Access Bank,Champlin,MN,16476,PrinsBank,"May 7, 2010","February 5, 2015"
298,The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,"May 7, 2010","November 5, 2012"
299,Frontier Bank,Everett,WA,22710,"Union Bank, N.A.","April 30, 2010","January 15, 2013"
300,BC National Banks,Butler,MO,17792,Community First Bank,"April 30, 2010","August 23, 2012"
301,Champion Bank,Creve Coeur,MO,58362,BankLiberty,"April 30, 2010","June 6, 2016"
302,CF Bancorp,Port Huron,MI,30005,First Michigan Bank,"April 30, 2010","April 13, 2016"
303,Westernbank Puerto Rico  En Espanol,Mayaguez,PR,31027,Banco Popular de Puerto Rico,"April 30, 2010","March 21, 2014"
304,R-G Premier Bank of Puerto Rico  En Espanol,Hato Rey,PR,32185,Scotiabank de Puerto Rico,"April 30, 2010","August 5, 2015"
305,Eurobank  En Espanol,San Juan,PR,27150,Oriental Bank and Trust,"April 30, 2010","March 21, 2014"
306,Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,"April 23, 2010","August 23, 2012"
307,Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,"April 23, 2010","August 23, 2012"
308,Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,"April 23, 2010","August 23, 2012"
309,New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.","April 23, 2010","August 23, 2012"
310,Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,"April 23, 2010","June 5, 2014"
311,Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.","April 23, 2010","August 23, 2012"
312,"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,"April 23, 2010","August 23, 2012"
313,City Bank,Lynnwood,WA,21521,Whidbey Island Bank,"April 16, 2010","September 14, 2012"
314,Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.","April 16, 2010","August 23, 2012"
315,Innovative Bank,Oakland,CA,23876,Center Bank,"April 16, 2010","October 6, 2017"
316,Butler Bank,Lowell,MA,26619,People's United Bank,"April 16, 2010","August 23, 2012"
317,Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.","April 16, 2010","March 21, 2014"
318,AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.","April 16, 2010","March 21, 2014"
319,First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.","April 16, 2010","March 21, 2014"
320,Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,"April 16, 2010","August 23, 2012"
321,Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,"April 9, 2010","March 21, 2014"
322,Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,"March 26, 2010","August 23, 2012"
323,Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,"March 26, 2010","September 21, 2015"
324,Key West Bank,Key West,FL,34684,Centennial Bank,"March 26, 2010","February 9, 2017"
325,McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,"March 26, 2010","July 11, 2016"
326,State Bank of Aurora,Aurora,MN,8221,Northern State Bank,"March 19, 2010","August 8, 2016"
327,First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,"March 19, 2010","March 21, 2014"
328,Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,"March 19, 2010","March 21, 2014"
329,Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,"March 19, 2010","October 6, 2017"
330,Advanta Bank Corp.,Draper,UT,33535,No Acquirer,"March 19, 2010","March 31, 2016"
331,Century Security Bank,Duluth,GA,58104,Bank of Upson,"March 19, 2010","April 13, 2016"
332,American National Bank,Parma,OH,18806,The National Bank and Trust Company,"March 19, 2010","September 21, 2015"
333,Statewide Bank,Covington,LA,29561,Home Bank,"March 12, 2010","August 23, 2012"
334,Old Southern Bank,Orlando,FL,58182,Centennial Bank,"March 12, 2010","February 9, 2017"
335,The Park Avenue Bank,New York,NY,27096,Valley National Bank,"March 12, 2010","August 23, 2012"
336,LibertyPointe Bank,New York,NY,58071,Valley National Bank,"March 11, 2010","August 23, 2012"
337,Centennial Bank,Ogden,UT,34430,No Acquirer,"March 5, 2010","September 14, 2012"
338,Waterfield Bank,Germantown,MD,34976,No Acquirer,"March 5, 2010","August 23, 2012"
339,Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,"March 5, 2010","August 23, 2012"
340,Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,"March 5, 2010","March 21, 2014"
341,Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,"February 26, 2010","August 23, 2012"
342,Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,"February 26, 2010","January 15, 2013"
343,"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB","February 19, 2010","August 24, 2012"
344,George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.","February 19, 2010","August 24, 2012"
345,The La Coste National Bank,La Coste,TX,3287,Community National Bank,"February 19, 2010","August 19, 2014"
346,Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,"February 19, 2010","July 20, 2017"
347,1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB","February 5, 2010","November 1, 2013"
348,American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,"January 29, 2010","August 24, 2012"
349,First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,"January 29, 2010","March 4, 2016"
350,Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,"January 29, 2010","April 13, 2016"
351,"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,"January 29, 2010","August 23, 2012"
352,Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.","January 29, 2010","March 21, 2014"
353,First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,"January 29, 2010","March 21, 2014"
354,Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,"January 22, 2010","September 14, 2012"
355,Evergreen Bank,Seattle,WA,20501,Umpqua Bank,"January 22, 2010","January 15, 2013"
356,Charter Bank,Santa Fe,NM,32498,Charter Bank,"January 22, 2010","August 23, 2012"
357,Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.","January 22, 2010","January 15, 2013"
358,Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.","January 22, 2010","September 21, 2015"
359,Barnes Banking Company,Kaysville,UT,1252,No Acquirer,"January 15, 2010","August 23, 2012"
360,St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,"January 15, 2010","August 8, 2016"
361,Town Community Bank & Trust,Antioch,IL,34705,First American Bank,"January 15, 2010","August 23, 2012"
362,Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,"January 8, 2010","August 23, 2012"
363,"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB","December 18, 2009","August 23, 2012"
364,Imperial Capital Bank,La Jolla,CA,26348,City National Bank,"December 18, 2009","September 5, 2012"
365,Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),"December 18, 2009","August 23, 2012"
366,New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,"December 18, 2009","August 23, 2012"
367,Citizens State Bank,New Baltimore,MI,1006,No Acquirer,"December 18, 2009","March 21, 2014"
368,Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,"December 18, 2009","November 5, 2012"
369,RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,"December 18, 2009","March 21, 2014"
370,SolutionsBank,Overland Park,KS,4731,Arvest Bank,"December 11, 2009","July 19, 2016"
371,"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,"December 11, 2009","October 20, 2016"
372,"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,"December 11, 2009","October 6, 2017"
373,Greater Atlantic Bank,Reston,VA,32583,Sonabank,"December 4, 2009","March 21, 2014"
374,Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.","December 4, 2009","August 23, 2012"
375,AmTrust Bank,Cleveland,OH,29776,New York Community Bank,"December 4, 2009","March 21, 2014"
376,The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,"December 4, 2009","March 21, 2014"
377,First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,"December 4, 2009","October 17, 2015"
378,The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,"December 4, 2009","March 21, 2014"
379,Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,"November 20, 2009","December 21, 2017"
380,Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,"November 13, 2009","April 10, 2017"
381,Orion Bank,Naples,FL,22427,IBERIABANK,"November 13, 2009","March 21, 2014"
382,"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,"November 13, 2009","March 21, 2014"
383,United Commercial Bank,San Francisco,CA,32469,East West Bank,"November 6, 2009","November 5, 2012"
384,Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,"November 6, 2009","August 22, 2012"
385,Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.","November 6, 2009","August 22, 2012"
386,Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,"November 6, 2009","August 22, 2012"
387,United Security Bank,Sparta,GA,22286,Ameris Bank,"November 6, 2009","March 21, 2014"
388,North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
389,Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
390,Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
391,Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
392,Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
393,California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,"October 30, 2009","September 5, 2012"
394,San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
395,Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,"October 30, 2009","January 15, 2013"
396,"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,"October 30, 2009","August 22, 2012"
397,First DuPage Bank,Westmont,IL,35038,First Midwest Bank,"October 23, 2009","August 22, 2012"
398,Riverview Community Bank,Otsego,MN,57525,Central Bank,"October 23, 2009","December 21, 2017"
399,Bank of Elmwood,Racine,WI,18321,Tri City National Bank,"October 23, 2009","August 22, 2012"
400,Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,"October 23, 2009","February 5, 2015"
401,Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,"October 23, 2009","August 22, 2012"
402,American United Bank,Lawrenceville,GA,57794,Ameris Bank,"October 23, 2009","September 5, 2012"
403,Partners Bank,Naples,FL,57959,Stonegate Bank,"October 23, 2009","February 5, 2015"
404,San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,"October 16, 2009","August 22, 2012"
405,Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,"October 2, 2009","December 12, 2016"
406,Jennings State Bank,Spring Grove,MN,11416,Central Bank,"October 2, 2009","November 15, 2017"
407,Warren Bank,Warren,MI,34824,The Huntington National Bank,"October 2, 2009","August 21, 2012"
408,Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.","September 25, 2009","August 21, 2012"
409,"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.","September 18, 2009","September 5, 2012"
410,Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.","September 18, 2009","August 21, 2012"
411,Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,"September 11, 2009","August 21, 2012"
412,Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,"September 11, 2009","October 20, 2016"
413,"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.","September 11, 2009","August 21, 2012"
414,First State Bank,Flagstaff,AZ,34875,Sunwest Bank,"September 4, 2009","February 5, 2015"
415,Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,"September 4, 2009","August 21, 2012"
416,Vantus Bank,Sioux City,IA,27732,Great Southern Bank,"September 4, 2009","August 21, 2012"
417,InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.","September 4, 2009","October 17, 2015"
418,First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,"September 4, 2009","August 21, 2012"
419,Affinity Bank,Ventura,CA,27197,Pacific Western Bank,"August 28, 2009","August 21, 2012"
420,Mainstreet Bank,Forest Lake,MN,1909,Central Bank,"August 28, 2009","August 21, 2012"
421,Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),"August 28, 2009","January 15, 2013"
422,Guaranty Bank,Austin,TX,32618,BBVA Compass,"August 21, 2009","August 21, 2012"
423,CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,"August 21, 2009","January 15, 2013"
424,First Coweta Bank,Newnan,GA,57702,United Bank,"August 21, 2009","December 7, 2015"
425,ebank,Atlanta,GA,34682,"Stearns Bank, N.A.","August 21, 2009","August 21, 2012"
426,Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,"August 14, 2009","August 21, 2012"
427,Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,"August 14, 2009","August 21, 2012"
428,"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,"August 14, 2009","August 21, 2012"
429,Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)","August 14, 2009","June 12, 2014"
430,Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.","August 14, 2009","January 15, 2013"
431,Community First Bank,Prineville,OR,23268,Home Federal Bank,"August 7, 2009","October 6, 2017"
432,Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.","August 7, 2009","August 20, 2012"
433,First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.","August 7, 2009","August 20, 2012"
434,Mutual Bank,Harvey,IL,18659,United Central Bank,"July 31, 2009","August 20, 2012"
435,First BankAmericano,Elizabeth,NJ,34270,Crown Bank,"July 31, 2009","August 20, 2012"
436,Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.","July 31, 2009","August 20, 2012"
437,Integrity Bank,Jupiter,FL,57604,Stonegate Bank,"July 31, 2009","August 20, 2012"
438,First State Bank of Altus,Altus,OK,9873,Herring Bank,"July 31, 2009","August 20, 2012"
439,Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,"July 24, 2009","August 20, 2012"
440,Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,"July 24, 2009","October 17, 2015"
441,Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,"July 24, 2009","August 20, 2012"
442,Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,"July 24, 2009","January 6, 2016"
443,Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,"July 24, 2009","August 20, 2012"
444,Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,"July 24, 2009","October 23, 2017"
445,Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.","July 24, 2009","November 1, 2013"
446,Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,"July 17, 2009","October 20, 2016"
447,Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,"July 17, 2009","August 20, 2012"
448,BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.","July 17, 2009","August 20, 2012"
449,First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,"July 17, 2009","August 8, 2016"
450,Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,"July 10, 2009","August 20, 2012"
451,Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,"July 2, 2009","August 20, 2012"
452,Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,"July 2, 2009","October 26, 2012"
453,First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.","July 2, 2009","August 20, 2012"
454,Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,"July 2, 2009","August 20, 2012"
455,Rock River Bank,Oregon,IL,15302,The Harvard State Bank,"July 2, 2009","August 20, 2012"
456,First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,"July 2, 2009","August 20, 2012"
457,John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,"July 2, 2009","August 20, 2012"
458,Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,"June 26, 2009","August 20, 2012"
459,MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,"June 26, 2009","February 5, 2015"
460,Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.","June 26, 2009","February 5, 2015"
461,Neighborhood Community Bank,Newnan,GA,35285,CharterBank,"June 26, 2009","December 7, 2015"
462,Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,"June 26, 2009","August 17, 2012"
463,First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,"June 19, 2009","September 21, 2015"
464,Cooperative Bank,Wilmington,NC,27837,First Bank,"June 19, 2009","August 17, 2012"
465,Southern Community Bank,Fayetteville,GA,35251,United Community Bank,"June 19, 2009","September 21, 2015"
466,Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,"June 5, 2009","August 17, 2012"
467,Citizens National Bank,Macomb,IL,5757,Morton Community Bank,"May 22, 2009","September 4, 2012"
468,Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,"May 22, 2009","September 4, 2012"
469,"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,"May 21, 2009","August 17, 2012"
470,Westsound Bank,Bremerton,WA,34843,Kitsap Bank,"May 8, 2009","September 4, 2012"
471,America West Bank,Layton,UT,35461,Cache Valley Bank,"May 1, 2009","August 17, 2012"
472,Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,"May 1, 2009","September 4, 2012"
473,"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,"May 1, 2009","August 17, 2012"
474,First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.","April 24, 2009","August 17, 2012"
475,First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,"April 24, 2009","September 4, 2012"
476,Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,"April 24, 2009","August 17, 2012"
477,American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,"April 24, 2009","August 17, 2012"
478,Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,"April 17, 2009","September 4, 2012"
479,American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,"April 17, 2009","August 31, 2012"
480,New Frontier Bank,Greeley,CO,34881,No Acquirer,"April 10, 2009","September 4, 2012"
481,Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,"April 10, 2009","April 10, 2017"
482,Omni National Bank,Atlanta,GA,22238,No Acquirer,"March 27, 2009","August 17, 2012"
483,"TeamBank, NA",Paola,KS,4754,Great Southern Bank,"March 20, 2009","September 12, 2016"
484,Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,"March 20, 2009","December 12, 2016"
485,FirstCity Bank,Stockbridge,GA,18243,No Acquirer,"March 20, 2009","August 17, 2012"
486,Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,"March 6, 2009","August 17, 2012"
487,Security Savings Bank,Henderson,NV,34820,Bank of Nevada,"February 27, 2009","September 7, 2012"
488,Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.","February 27, 2009","August 17, 2012"
489,Silver Falls Bank,Silverton,OR,35399,Citizens Bank,"February 20, 2009","August 17, 2012"
490,Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,"February 13, 2009","December 7, 2015"
491,Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,"February 13, 2009","August 17, 2012"
492,Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,"February 13, 2009","August 17, 2012"
493,Sherman County Bank,Loup City,NE,5431,Heritage Bank,"February 13, 2009","August 17, 2012"
494,County Bank,Merced,CA,22574,Westamerica Bank,"February 6, 2009","September 4, 2012"
495,Alliance Bank,Culver City,CA,23124,California Bank & Trust,"February 6, 2009","August 16, 2012"
496,FirstBank Financial Services,McDonough,GA,57017,Regions Bank,"February 6, 2009","August 16, 2012"
497,Ocala National Bank,Ocala,FL,26538,"CenterState Bank of Florida, N.A.","January 30, 2009","September 4, 2012"
498,Suburban FSB,Crofton,MD,30763,Bank of Essex,"January 30, 2009","February 4, 2016"
499,MagnetBank,Salt Lake City,UT,58001,No Acquirer,"January 30, 2009","August 16, 2012"
500,1st Centennial Bank,Redlands,CA,33025,First California Bank,"January 23, 2009","April 13, 2016"
501,Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,"January 16, 2009","August 16, 2012"
502,National Bank of Commerce,Berkeley,IL,19733,Republic Bank of Chicago,"January 16, 2009","August 16, 2012"
503,Sanderson State Bank  En Espanol,Sanderson,TX,11568,The Pecos County State Bank,"December 12, 2008","October 25, 2013"
504,Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)","December 12, 2008","August 16, 2012"
505,First Georgia Community Bank,Jackson,GA,34301,United Bank,"December 5, 2008","August 16, 2012"
506,PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.","November 21, 2008","January 4, 2013"
507,Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.","November 21, 2008","January 4, 2013"
508,Community Bank,Loganville,GA,16490,Bank of Essex,"November 21, 2008","September 4, 2012"
509,Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,"November 7, 2008","August 28, 2012"
510,"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,"November 7, 2008","August 16, 2012"
511,Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,"October 31, 2008","August 16, 2012"
512,Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.","October 24, 2008","August 16, 2012"
513,Meridian Bank,Eldred,IL,13789,National Bank,"October 10, 2008","May 31, 2012"
514,Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,"October 10, 2008","August 1, 2013"
515,Washington Mutual Bank  (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,"September 25, 2008","August 4, 2015"
516,Ameribank,Northfork,WV,6782,"The Citizens Savings Bank  Pioneer Community Bank, Inc.","September 19, 2008","September 21, 2015"
517,Silver State Bank  En Espanol,Henderson,NV,34194,Nevada State Bank,"September 5, 2008","October 25, 2013"
518,Integrity Bank,Alpharetta,GA,35469,Regions Bank,"August 29, 2008","August 16, 2012"
519,Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,"August 22, 2008","March 26, 2015"
520,First Priority Bank,Bradenton,FL,57523,SunTrust Bank,"August 1, 2008","December 12, 2016"
521,"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,"July 25, 2008","September 12, 2016"
522,First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,"July 25, 2008","August 28, 2012"
523,IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB","July 11, 2008","April 22, 2015"
524,"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,"May 30, 2008","October 20, 2016"
525,"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,"May 9, 2008","August 28, 2012"
526,Hume Bank,Hume,MO,1971,Security Bank,"March 7, 2008","August 28, 2012"
527,Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,"January 25, 2008","October 26, 2012"
